SOUPS,PRICE PER BOWL,APPETIZERS,PRICE [APPETIZERS],MAIN COURSE ,PRICE [MAIN COURSE],BREAD/RICE,PRICE [BREAD/RICE],ADDITIONAL ,PRICE
Rich Tomato Soup,150,Harabhara Kebab,200,Dal Fry,250,Roti,40,Pulao,300
Cream Of Potato Soup,155,Spicy Soya Chaap Bites,200,Dal Tadka,250,Butter Roti,45,Veg Biryani,350
Manchow Soup,155,Tandoori Paneer Tikka,230,Palak Dal,250,Naan ,50,Chicken Biryani,450
Sweet Corn Soup,150,Paneer Malai Kebab,230,Kadhi,260,Butter Naan,55,Curd Rice,300
Cream Of Spinich Soup,155,Cheesy Cheddar Ballls,220,Paneer Butter Masala,325,Garlic Naan,55,Lemon Rice,300
Black Brean Soup,160,Cheese Corn Cutlets,220,Kadhai Paneer,325,Cheese Garlic Naan,55,Aloo Paratha,200
Mix Veg Soup,160,Chicken Nuggets ,250,Paneer Tikka Masala,325,Paratha,50,Pyaaz Paratha,200
Egg Drop Soup,160,Punjabi Chicken Lollipops,250,Paneer Lababdar,325,Lachha Paratha,55,Paneer Paratha,200
Creamy Mushroom Garlic Soup,160,Tandoori Chicken Tikka,250,Butter Chicken,400,Rumali Roti,55,Palak Paratha,200
Chicken Noodle Soup,200,Veg Crispy,220,Chicken 65,400,Ragi Roti,60,Curd,30
Lemon & Coriander Soup,150,Spicy Bombay Potatoes,220,Sarson Ka Saag,350,Bajra Roti,60,Boondi Raita,50
Healthy Lentil Soup,150,Cauliflower Tikka Bites,220,Methi Matar Malai,300,Makki Di Roti,60,Pineapple Raita,55
Carrot Soup,150,Creamy Mushroom Puffs,230,Kofta Curry,300,Steamed Rice,125,Buttermilk,20
Crab Soup,240,Achari Paneer Pakora,230,Rajma,290,Jeera Rice,140,Lassi,20
Benali Fish Soup,240,Smoked Fish Fritters,270,Palak Paneer,330,Aromatic Rice,160,Soft Drinks,30
